"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34189","test_text_to_prompt","tests","Tue Aug 19 08:30:38 UTC 2025","passed","Tue Aug 19 08:31:12 UTC 2025","ExampleTestCase","test_example","",""
"","16495","test_select_model_and_send_prompt","tests","Thu Aug 21 06:04:22 UTC 2025","passed","Thu Aug 21 06:04:38 UTC 2025","ChatFlowTest","test_example","",""
"","9132","test_change_name","tests","Thu Aug 21 10:02:28 UTC 2025","passed","Thu Aug 21 10:02:37 UTC 2025","ExampleTestCase","test_example","",""
"","5895","test_send_message","tests","Tue Sep 09 16:35:10 UTC 2025","passed","Tue Sep 09 16:35:16 UTC 2025","ExampleTestCase","test_example","",""
"","6677","test_page_title","tests","Tue Sep 09 16:35:04 UTC 2025","passed","Tue Sep 09 16:35:10 UTC 2025","ExampleTestCase","test_example","",""
